path,bytes,ext,mtime_iso,sha256,top_level_dir,is_archive,is_dataset_candidate
.gitignore,1208,,2025-12-11T10:02:40.794828,5bfa3151503e8a380b97dfeb9b14795c78385985e785446f717a05356bb94751,.gitignore,False,False
.gitkeep,0,,2025-12-11T10:02:40.794828,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,.gitkeep,False,False
.prettierignore,310,,2025-12-11T10:02:40.794828,17f593918ed38aec9deac4301d519a4349172c649d1849ce17190cedbde33228,.prettierignore,False,False
.prettierrc,310,,2025-12-11T10:02:40.794828,087532218269eb851c22dcc3d5234ea46bfa513b494a3d7b167b1c1f48c410c5,.prettierrc,False,False
ARCHITECTURE.md,13207,.md,2025-12-11T10:02:40.794828,c6ff1f5633100be6b78c3e849dcb4b42880e7bd53ef8eebb7b6d5cf7ccf8b895,ARCHITECTURE.md,False,False
AUDIT_FINDINGS.md,20423,.md,2025-12-11T10:02:40.798828,b6ecfbb3903a2175046fef2f41d0d6f3cbc44155082383fee3ee94ca429bdc7e,AUDIT_FINDINGS.md,False,False
CRON_DEPLOYMENT.md,5279,.md,2025-12-11T10:02:40.798828,94ca6827a3066d23e2dc80ff356b25f7b34ea2d8bb921a210953ca26aa665fda,CRON_DEPLOYMENT.md,False,False
DATASET_INVENTORY.md,12817,.md,2025-12-11T10:02:40.798828,8619b7e568a5c3b7bca944a7a02bf6ffc0b290e85f4304d8776365ad24864ada,DATASET_INVENTORY.md,False,False
DATA_MODEL.md,24232,.md,2025-12-11T10:02:40.798828,46b1b7db1d65023647195b61c10b04e72ca92a579b7dfdd3c06817885acc72e2,DATA_MODEL.md,False,False
DOCUMENTATION_INVENTORY.md,8387,.md,2025-12-11T10:02:40.798828,8ef8271d99b0c23a01ad48e34a6cdd9aef0212b8896e37fe82c1bd3efa69d2af,DOCUMENTATION_INVENTORY.md,False,False
EPCIS_CBV_INTEGRATION_SUMMARY.md,8135,.md,2025-12-11T10:02:40.798828,7b7a20302a4987f2de2e210fe974719e1778c60472a07a624fa98a3054e29037,EPCIS_CBV_INTEGRATION_SUMMARY.md,False,False
EXTERNAL_REFERENCES.md,10462,.md,2025-12-11T10:02:40.798828,6514041e682ebaf7af82b8e9de551293d34c637d4ffbbb5b1bddbf704c291b88,EXTERNAL_REFERENCES.md,False,False
GS1_ARTEFACT_PROCESSING.md,10096,.md,2025-12-11T10:02:40.798828,ec4839a7f0d93b3027cb7e2d6047fb3e1f6576da0ef49faaa6a20dca86ede519,GS1_ARTEFACT_PROCESSING.md,False,False
INGESTION.md,11549,.md,2025-12-11T10:02:40.798828,93418c62b25ffd1ef56a1e8bcc958db26df79c89628e98dd7cfe4816c6c96b55,INGESTION.md,False,False
ISA_GS1_ARTIFACT_INVENTORY.md,15476,.md,2025-12-11T10:02:40.798828,da4cb68ae84b9875400cc89150504ea1386e0640c5d817f859371b9b888acd68,ISA_GS1_ARTIFACT_INVENTORY.md,False,False
ISA_NEWSHUB_AUDIT_UPDATED.md,15853,.md,2025-12-11T10:02:40.798828,936d3bfd67e257c50958bf16d6c6a0c15915530d1b74f55b66cae68fc134356f,ISA_NEWSHUB_AUDIT_UPDATED.md,False,False
ISA_NEWSHUB_TARGET_DESIGN.md,32963,.md,2025-12-11T10:02:40.798828,894ff2e53e59deedbf8e309ef93368b7ab688716f5bc06497bb11cf7096b3fc5,ISA_NEWSHUB_TARGET_DESIGN.md,False,False
MULTI_REGULATION_COMPARISON_SUMMARY.md,20694,.md,2025-12-11T10:02:40.798828,e20d59f838614107aaba150db70698d7dd789eb5e781dd05e502dbf31a4d1a12,MULTI_REGULATION_COMPARISON_SUMMARY.md,False,False
